Confirmed cases(confCase),confirmation rate(confCaseRate),Date and time of registration(createDt),fatality rate(criticalRate),dead(death),deathRate(deathRate),"Categorization,gender,age(gubun)","post-number Unique value by gender, age, and Confirmed cases(seq)",Modified Date and Time Minute(updateDt)
1165,10.78,5/5/2020 10:23,0.17,2,0.79,'30-39,560,null
1436,13.29,5/5/2020 10:23,0.21,3,1.18,'40-49,559,null
1957,18.11,5/5/2020 10:23,0.77,15,5.91,'50-59,558,null
1353,12.52,5/5/2020 10:23,2.66,36,14.17,'60-69,557,null
710,6.57,5/5/2020 10:23,10.7,76,29.92,'70-79,556,null
488,4.52,5/5/2020 10:23,25,122,48.03,over 80,555,null
140,1.3,5/4/2020 10:12,0,0,0,'0-9,541,null
591,5.47,5/4/2020 10:12,0,0,0,'10-19,540,null
2964,27.44,5/4/2020 10:12,0,0,0,'20-29,539,null
1164,10.78,5/4/2020 10:12,0.17,2,0.79,'30-39,538,null
1435,13.29,5/4/2020 10:12,0.21,3,1.19,'40-49,537,null
1956,18.11,5/4/2020 10:12,0.77,15,5.95,'50-59,536,null
1353,12.53,5/4/2020 10:12,2.66,36,14.29,'60-69,535,null
710,6.57,5/4/2020 10:12,10.7,76,30.16,'70-79,534,null
488,4.52,5/4/2020 10:12,24.59,120,47.62,over 80,533,null
140,1.3,5/3/2020 10:56,0,0,0,'0-9,519,null
591,5.48,5/3/2020 10:56,0,0,0,'10-19,518,null
2962,27.44,5/3/2020 10:56,0,0,0,'20-29,517,null
1163,10.78,5/3/2020 10:56,0.17,2,0.8,'30-39,516,null
1432,13.27,5/3/2020 10:56,0.21,3,1.2,'40-49,515,null
1956,18.12,5/3/2020 10:56,0.77,15,6,'50-59,514,null
1351,12.52,5/3/2020 10:56,2.59,35,14,'60-69,513,null
710,6.58,5/3/2020 10:56,10.56,75,30,'70-79,512,null
488,4.52,5/3/2020 10:56,24.59,120,48,over 80,511,null
140,1.3,5/2/2020 10:23,0,0,0,'0-9,497,null
590,5.47,5/2/2020 10:23,0,0,0,'10-19,496,null
2960,27.46,5/2/2020 10:23,0,0,0,'20-29,495,null
1160,10.76,5/2/2020 10:23,0.17,2,0.8,'30-39,494,null
1430,13.27,5/2/2020 10:23,0.21,3,1.2,'40-49,493,null
1956,18.14,5/2/2020 10:23,0.77,15,6,'50-59,492,null
1349,12.51,5/2/2020 10:23,2.59,35,14,'60-69,491,null
709,6.58,5/2/2020 10:23,10.58,75,30,'70-79,490,null
486,4.51,5/2/2020 10:23,24.69,120,48,over 80,489,null
140,1.3,5/1/2020 10:28,0,0,0,'0-9,475,null
